name,totalCred,github,discourse,address,discord,discordId,id
t-rossi,1.7196708203065914,,,,,,"['n6nflseS4TB293eD0b09qw', 'aXm7njN4Owc08UBPz5eJqw', 'fYjkDgAK3ojObTK8i8GDEg']"
domik20,1.7193583152995506,,,,,,['Pc3LuW4soKp93qSBzsaNSg']
maxwe11,1.7040551527965104,,maxwe11,0x3F20a6fE04b3A4b37bBBBea826ae23be56Baed74,maxwe11#7157,1.449271344927867e+17,"['mcVV5intjiL3DdvVYwj1Rw', 'kzMszfW0NznerqGvkjelwA']"
dekanbro,1.6870024423126493,,,,,,['21E2MC3uZjqSjq6OBGrmmQ']
marcodarko1,1.6870024423126493,,,,,,['oU9YqMwhMNKyMMxG5NpC5g']
donkarabi,1.6731792505547654,,,,,,['P5PYKfqK22b9oV3PIkojAA']
andy-hook,1.6651791716514803,,,,,,['xTzOQxkyqntbQIw0994PVg']
0xddde,1.6548216271778036,,,,,,['M8MDCawve21jzn9K5Y0mlg']
farty,1.5623868046943723,,,,,,['fE3Vc42d2cV1f0U7p8HQeA']
zion-code,1.5524708455304357,,,,,,['mziEWEdu6aJUlfGbafdTRQ']
harthor,1.5205362464005756,,,,,,['BH2wr1YLBGRCmVtMFW8Xcw']
sohkai,1.4526500321765896,,,,,,['y6TBltNMowUQ32NXOgzPuQ']
michael-a-heuer,1.3671068579509371,,,,,,['4Y7IDsQAfyD6ra7l4J2qyw']
prohg,1.3623532221507078,,,,,,['Hjug8BLBoAGDZFEpGggJxQ']
ekeneodigwe,1.3129904202439082,,,,,,"['7Xe1I1NjtvIgd8rUE7JVDw', '4F3DcepnaPAcjkxnGIE4jg']"
danibelle,1.2393777749607728,,,,,,"['KJy5OKfq2X9RH2VreGAgog', '7ZdNzLrbaCp7y6C6pG2DSQ']"
danielo,1.1672814260038176,,,,,,"['NU4GMvnXCeLgewMmbwlElA', 'cBmh9gK8czOeH8Nr2rEmDA']"
ishanjain28,1.1513068684057144,,,,,,['T9Ys6D7LqUz5bKTaA5JNwg']
wirjo,1.1513068684057144,,,,,,['RZJ28vKLFJs2pImN17ZU7Q']
seb-ethmonk,1.1513068684057144,,,,,,['XpDy0ujeZQU9zFwAxq5B0A']
0xmodene,1.1513068684057144,,,,,,['75T0tyXzE4sxp0b9HYExHQ']
kristofernoaccess,1.1513068684057144,,,,,,['XJAmjvvSJodGDCnMv4rr5g']
fabianschu,1.1513068684057144,,,,,,['kAWvz1PBTzyMXevEPi3vdg']
murphy,1.1513068684057144,,,,,,['6YBXO13SMhndp1KGvAhW5Q']
sepandhaghighi,1.1513068684057144,,,,,,['W0yo4ZJkxTEEkqyyXNl0aA']
erichdylus,1.1513068684057144,,,,,,['1JOTMsguKbSqSrsQikaa9A']
p-murli,1.1513068684057144,,,,,,['LlXsgiQ3JeCVN0QzEyBc9A']
a-jwc,1.1513068684057144,,,,,,['pXjFYBYcR6CB4Rv8uVUmRw']
georgesmith9914,1.1513068684057144,,,,,,['SR5JKSAsofwaZ6tVFz8pjg']
panteo92,1.1513068684057144,,,,,,['9km5zvgDj77VPKKP6YLQqQ']
brandoniles,1.1513068684057144,,,,,,['ClLmX80W6AZgAOzN9wHQQw']
manualzuru,1.1270441458011728,,,,,,['U5vAoK89AGEflFWXB1oQpw']
biancagadelha,1.0421824584323156,,,,,,"['J9yMAWUB0As4UkqYpA1qIw', 'lgVMSXeXGNmKxP4IAVf9Pg']"
mayasierra,0.8608735267872719,,,,,,['WQXAroZNbFK5c37sJkGEAg']
roveneliah,0.7326321467105951,,,,,,['5c81vzdJmcRBZYoR2yZBWA']
kelsien,0.714242648183749,,,,,,['HpyIKk2qre3N3Q53sqZLtw']
fobey123,0.6892049070019398,,,,,,['W4OwRHMGwk9TjFG4X1eKtg']
tiberiusb,0.6820381646134003,,,,,,['xVC1TAs2gNM4Rv0PGmOzrA']
marc,0.6649383703957513,,,,,,"['ixR4pc1Q4TZrZRVOAfR2Dw', '4CVXhrxPczdgEA3dXUP16A', 'fVZWEeWbjCR4qq2wo1mjNw']"
guccukudo,0.6549061999506022,,,,,,['ZRiN0NZ7h4uz49SOdCBuBQ']
maindefi,0.6495231291255089,,,,,,['HD28qW7kbXll053g0ptLIQ']
unclebimbim,0.6446192058754344,,,,,,['w7LoKq4r1JddMUqq3IjxBQ']
tony888,0.6401682486453643,,,,,,['J9w8r11s59QPoXUWVEjY1A']
anatech,0.6264583853899255,,,,,,"['QVSd6JQ1rNdT6E3HmROFQg', 'b5gS43YNuOCNvWWkEryR0g']"
rohekbenitez,0.5956636139668527,,rohekbenitez,0x6C965b656C450259a6D4d95A2E68Fb4319EecBc0,rohekbenitez#8753,7.664136346077757e+17,"['eZndrvVZnOaikpxqPXKFJA', 'DLB9gXanlmAOauoAjDQncw']"
phacker3,0.5925444362565041,,,,,,['3IDBgPo2roxNRb5Uk2So4A']
radical-sociologist,0.5906326276471587,,,,,,['T6q3S0GwTaac3Dj8udAsRw']
joshuavial,0.3951376146338161,,,,,,['q0NyG0ja5fYMofDqj9VwLQ']
patriciatea,0.3591968068791889,patriciatea,pat.zip,0x9F6b969Ee3F9C2b0a528b3029049e34BBD4bdB49,pat.zip (te academy)#5266,9.025431853671424e+17,['bqiO0g0K4K1N75xP1oNdsw']
